obs_wl_vac(nm)	ritz_wl_vac(nm)	unc_ritz_wl	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
""	"656.015708"	"0.000003"	""	"1.6354e+04"	AA	"(411478.097267)"	"(426717.425022)"	"4f"	"2F*"	"5/2"	"6d"	"2D"	"5/2"		"T7771"	""	
""	"656.015732"	"0.000003"	""	"1.3737e+06"	AA	"(411478.097707)"	"(426717.424890)"	"4d"	"2D"	"5/2"	"6f"	"2F*"	"5/2"		"T7771"	""	
""	"656.016955"	"0.000003"	""	"3.8255e+06"	AA	"(411477.8548989)"	"(426717.1536654)"	"4p"	"2P*"	"3/2"	"6s"	"2S"	"1/2"		"T7771"	""	
""	"656.017657"	"0.000003"	""	"1.5085e+06"	AA	"(411477.853680)"	"(426717.1361554)"	"4d"	"2D"	"3/2"	"6p"	"2P*"	"1/2"		"T7771"	""	
""	"656.018478"	"0.000003"	""	"2.1979e+07"	AA	"(411478.219277)"	"(426717.4826633)"	"4f"	"2F*"	"7/2"	"6g"	"2G"	"9/2"		"T7771"	""	
""	"656.018820"	"0.000003"	""	"3.4351e+05"	AA	"(411478.097267)"	"(426717.352717)"	"4f"	"2F*"	"5/2"	"6d"	"2D"	"3/2"		"T7771"	""	
""	"656.018823"	"0.000003"	""	"1.3572e+06"	AA	"(411478.097707)"	"(426717.3530854)"	"4d"	"2D"	"5/2"	"6p"	"2P*"	"3/2"		"T7771"	""	
""	"656.019412"	"0.000003"	""	"7.8497e+05"	AA	"(411478.219277)"	"(426717.4609726)"	"4f"	"2F*"	"7/2"	"6g"	"2G"	"7/2"		"T7771"	""	
""	"656.020960"	"0.000003"	""	"3.2712e+05"	AA	"(411478.219277)"	"(426717.425022)"	"4f"	"2F*"	"7/2"	"6d"	"2D"	"5/2"		"T7771"	""	
""	"1012.285344"	"0.000005"	""	"1.9822e+07"	AA	"(411477.1227550)"	"(421353.053159)"	"4p"	"2P*"	"1/2"	"5d"	"2D"	"3/2"		"T7771"	""	
""	"1012.291327"	"0.000005"	""	"1.1801e+07"	AA	"(411477.1817529)"	"(421353.05378699)"	"4s"	"2S"	"1/2"	"5p"	"2P*"	"3/2"		"T7771"	""	
""	"1012.320605"	"0.000005"	""	"3.4431e+06"	AA	"(411477.1227550)"	"(421352.709172)"	"4p"	"2P*"	"1/2"	"5s"	"2S"	"1/2"		"T7771"	""	
""	"1012.329752"	"0.000005"	""	"1.1804e+07"	AA	"(411477.1817529)"	"(421352.6789311)"	"4s"	"2S"	"1/2"	"5p"	"2P*"	"1/2"		"T7771"	""	
""	"1012.347485"	"0.000005"	""	"3.8621e+07"	AA	"(411477.853680)"	"(421353.177874)"	"4d"	"2D"	"3/2"	"5f"	"2F*"	"5/2"		"T7771"	""	
""	"1012.347587"	"0.000005"	""	"2.3789e+07"	AA	"(411477.8548989)"	"(421353.178101)"	"4p"	"2P*"	"3/2"	"5d"	"2D"	"5/2"		"T7771"	""	
""	"1012.360206"	"0.000005"	""	"3.0175e+05"	AA	"(411477.853680)"	"(421353.05378699)"	"4d"	"2D"	"3/2"	"5p"	"2P*"	"3/2"		"T7771"	""	
""	"1012.360395"	"0.000005"	""	"3.9649e+06"	AA	"(411477.8548989)"	"(421353.053159)"	"4p"	"2P*"	"3/2"	"5d"	"2D"	"3/2"		"T7771"	""	
""	"1012.366065"	"0.000005"	""	"6.5681e+07"	AA	"(411478.097267)"	"(421353.2402246)"	"4f"	"2F*"	"5/2"	"5g"	"2G"	"7/2"		"T7771"	""	
""	"1012.366098"	"0.000005"	""	"4.1378e+07"	AA	"(411478.097707)"	"(421353.240343)"	"4d"	"2D"	"5/2"	"5f"	"2F*"	"7/2"		"T7771"	""	
""	"1012.372433"	"0.000005"	""	"3.8486e+04"	AA	"(411478.097267)"	"(421353.178101)"	"4f"	"2F*"	"5/2"	"5d"	"2D"	"5/2"		"T7771"	""	
""	"1012.372502"	"0.000005"	""	"2.7587e+06"	AA	"(411478.097707)"	"(421353.177874)"	"4d"	"2D"	"5/2"	"5f"	"2F*"	"5/2"		"T7771"	""	
""	"1012.374730"	"0.000005"	""	"6.8113e+07"	AA	"(411478.219277)"	"(421353.2777059)"	"4f"	"2F*"	"7/2"	"5g"	"2G"	"9/2"		"T7771"	""	
""	"1012.378573"	"0.000005"	""	"2.4326e+06"	AA	"(411478.219277)"	"(421353.2402246)"	"4f"	"2F*"	"7/2"	"5g"	"2G"	"7/2"		"T7771"	""	
""	"1012.384942"	"0.000005"	""	"7.6979e+05"	AA	"(411478.219277)"	"(421353.178101)"	"4f"	"2F*"	"7/2"	"5d"	"2D"	"5/2"		"T7771"	""	
